,date,tank,speaker,treatment,settled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei,larvae_cup
41.1,4-Mar,2,1,no sound,1,2,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
41.2,4-Mar,2,1,no sound,1,2,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
41.3,4-Mar,2,1,no sound,1,2,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
42,4-Mar,2,1,no sound,1,3,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
42.1,4-Mar,2,1,no sound,1,3,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
42.2,4-Mar,2,1,no sound,1,3,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
42.3,4-Mar,2,1,no sound,1,3,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
42.4,4-Mar,2,1,no sound,1,3,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
42.5,4-Mar,2,1,no sound,1,3,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
43,4-Mar,2,1,no sound,1,1,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
43.1,4-Mar,2,1,no sound,1,1,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
44,4-Mar,2,1,no sound,1,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
44.1,4-Mar,2,1,no sound,1,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
44.2,4-Mar,2,1,no sound,1,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
44.3,4-Mar,2,1,no sound,1,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
44.4,4-Mar,2,1,no sound,1,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
44.5,4-Mar,2,1,no sound,1,4,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
45,4-Mar,2,1,no sound,1,5,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
45.1,4-Mar,2,1,no sound,1,5,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
45.2,4-Mar,2,1,no sound,1,5,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
45.3,4-Mar,2,1,no sound,1,5,103.2605878,73.24744395,32.33826853,26.97637084,4113.66092,2.99E-304,0.975,
46,4-Mar,5,4,off reef,1,5,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
46.1,4-Mar,5,4,off reef,1,5,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
46.2,4-Mar,5,4,off reef,1,5,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
46.3,4-Mar,5,4,off reef,1,5,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
47,4-Mar,5,4,off reef,1,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
47.1,4-Mar,5,4,off reef,1,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
47.2,4-Mar,5,4,off reef,1,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
47.3,4-Mar,5,4,off reef,1,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
47.4,4-Mar,5,4,off reef,1,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
47.5,4-Mar,5,4,off reef,1,2,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
48,4-Mar,5,4,off reef,1,3,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
48.1,4-Mar,5,4,off reef,1,3,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
48.2,4-Mar,5,4,off reef,1,3,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
49,4-Mar,5,4,off reef,1,4,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
49.1,4-Mar,5,4,off reef,1,4,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
49.2,4-Mar,5,4,off reef,1,4,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
50,4-Mar,5,4,off reef,1,1,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
50.1,4-Mar,5,4,off reef,1,1,106.6463456,71.40673403,64.65583425,63.97716647,4211.775797,1.033229411,0.941166814,
